STORE,STORE_NAME,LABEL_NAME,ADDRESS,GEO_LATITUDE,GEO_LONGITUDE,OPEN_TIME,CLOSE_TIME
163,Супермаркет Кора 3,Супермаркет Кора,"652420, г. Березовский, пр-кт Шахтеров, 2а",55.665889,86.278945,8:00:00 AM,12:00:00 AM
164,Супермаркет Кора 4,Супермаркет Кора,"652723, г. Киселевск, ул. Мира, 4а",53.999796,86.561912,8:00:00 AM,12:00:00 AM
165,Супермаркет Кора 5,Супермаркет Кора,"650070, г. Кемерово, Молодежный пр-кт, 2",55.328801,86.124783,8:00:00 AM,12:00:00 AM
166,Супермаркет Кора 6,Супермаркет Кора,"650003, г. Кемерово, б-р Строителей, 42",55.339309,86.172538,8:00:00 AM,12:00:00 AM
168,Супермаркет Кора 8,Супермаркет Кора,"654041, г. Новокузнецк, ул. Транспортная, 49г",53.743049,87.127707,8:00:00 AM,12:00:00 AM
176,Холди,Холди,"630025, г. Новосибирск, Бердское шоссе, 61/1",54.959863,83.055419,8:00:00 AM,10:00:00 PM
178,Холди-1,Холди,"650065, г. Кемерово, Бульвар Строителей, 16",55.35052,86.162288,8:00:00 AM,9:00:00 PM
179,Европа,Холидей Классик,"656067, г. Барнаул, Павловский тракт, 251в",53.342006,83.682596,8:00:00 AM,12:00:00 AM
180,Холди-10,Холди,"654054, г. Новокузнецк, ул. Косыгина, 61",53.892251,87.130896,8:00:00 AM,9:00:00 PM
181,Супермаркет Кора 9,Супермаркет Кора,"654011, г. Новокузнецк, б-р Архитекторов, 14а",53.892686,87.114403,9:00:00 AM,12:00:00 AM
182,Холди Гоголя,Холди,"656056, г. Барнаул, ул. Гоголя, 41",53.334511,83.79423,8:00:00 AM,9:00:00 PM
184,Холди Троллейная,Холди,"630045, г. Новосибирск, ул. Троллейная, 130а",54.966463,82.852966,8:00:00 AM,9:00:00 PM
186,Холди-3,Холди,"652644, пос. Инской, ул. Липецкая, 23",54.422114,86.303692,8:00:00 AM,9:00:00 PM
187,Холди Красноармейский,Холди,"656049, г. Барнаул, Красноармейский проспект, 80",53.341532,83.771323,8:00:00 AM,9:00:00 PM
191,Холди-4,Холди,"650070, г. Кемерово, ул. Тухачевского, 45в",55.326947,86.130775,8:00:00 AM,9:00:00 PM
192,Холди Северск Транспортная,Холди,"636000, г. Северск, ул. Транспортная, 30",56.608665,84.886303,8:00:00 AM,10:00:00 PM
194,Холди Кошурникова,Холди,"630089, г. Новосибирск, ул. Кошурникова, 47",55.037025,82.979422,8:00:00 AM,9:00:00 PM
195,ГБШ,Просто Супермаркет,"630039, г. Новосибирск, Гусинобродсккое шоссе, 20",55.035379,83.002607,8:00:00 AM,10:00:00 PM
196,Холди-8,Холди,"652523, г. Ленинск-Кузнецкий, ул. Ленина, 90г",54.662396,86.134314,8:00:00 AM,9:00:00 PM
198,Холди-9,Холди,"654084, г. Новокузнецк, ул. Шахтеров, 12",53.780102,87.285631,8:00:00 AM,9:00:00 PM
199,Холди Нижнелуговая,Холди,"634009, г. Томск, ул. Нижне-Луговая, 4",56.515156,84.936887,8:00:00 AM,9:00:00 PM
200,Холди-11,Холди,"654018, г. Новокузнецк, ул. Кирова, 56",53.757004,87.144119,8:00:00 AM,9:00:00 PM
202,Комсомольский 102,Холидей Классик,"656038, г. Барнаул, ул. Комсомольский проспект, 102",53.346425,83.787699,8:00:00 AM,12:00:00 AM
203,Холди-12,Холди,"654002, г. Новокузнецк, ул. Разведчиков, 40",53.784087,87.319444,8:00:00 AM,9:00:00 PM
204,Холди-13,Холди,"650033, г. Кемерово, ул. Аллейная, 5а",55.399678,86.012027,8:00:00 AM,9:00:00 PM
205,Попова 114,Холидей Классик,"656065, г. Барнаул, ул. Попова 114",53.358255,83.673317,8:00:00 AM,12:00:00 AM
210,Барабинск Маркса,Холидей Классик,"632300, г. Барабинск, ул. Карла Маркса, 108",55.350151,78.346837,8:00:00 AM,11:00:00 PM
211,Холди Черепаново,Холди,"630126, г. Черепаново, ул. Пролетарская, 97а/2",54.226043,83.37513,8:00:00 AM,9:00:00 PM
212,Холди Выборная,Холди,"630126, г. Новосибирск, ул. Выборная, 122/3",55.000048,83.012157,8:00:00 AM,9:00:00 PM
214,Холди Дачная,Холди,"630082, г. Новосибирск, ул. Дачная, 60",55.06537,82.900595,8:00:00 AM,9:00:00 PM
215,Универсам Кора 16,Универсам Кора,"652718, г. Киселевск, ул. Студенческая, 8",54.00539,86.705427,8:00:00 AM,12:00:00 AM
216,Универсам Кора 17,Универсам Кора,"653052, г. Прокопьевск, ул. 10-мкр, 48",53.88221,86.614347,8:00:00 AM,12:00:00 AM
217,Супермаркет Кора 10,Супермаркет Кора,"650003, г. Кемерово, ул.Марковцева, 20",55.336621,86.188932,8:00:00 AM,12:00:00 AM
218,42К Кемерово Свободы 12,Холидей Классик,"650070, г. Кемерово, ул. Свободы, 12",55.329452,86.114408,8:00:00 AM,11:00:00 PM
219,Омск Звездная 2Б,Сибириада,"644073, г. Омск, ул. Звездная, 2б",54.9979,73.242619,8:00:00 AM,11:00:00 PM
220,Омск Фугенфирова 9А,Сибириада,"644081, г. Омск, ул. Фугенфирова, 9а",54.997073,73.264519,9:00:00 AM,11:00:00 PM
221,Холди-14,Холди,"652057, г. Юрга, ул. Волгоградская, 10",55.709723,84.921202,8:00:00 AM,9:00:00 PM
222,Омск Гашека 8,Планета Холидей,"644109, г. Омск, ул. Гашека, 8",54.90894,73.451576,8:00:00 AM,12:00:00 AM
223,Омск 20 Партсъезда 53А,Сибириада,"644077, г. Омск, ул. 20 Партсъезда, 53а",55.030813,73.263684,8:00:00 AM,11:00:00 PM
224,Железнодорожная 11,Сибириада,"630132, г. Новосибирск, ул. Железнодорожная, 11",55.045516,82.900038,8:00:00 AM,10:00:00 PM
226,Омск Нефтезаводская 19,Сибириада,"644065, г. Омск, ул. Нефтезаводская, 19",55.033873,73.267196,8:00:00 AM,11:00:00 PM
